subID,UpperName,LowerName,UpperSound,LowerSound,LeterKnowledge,HighLow
1103,23,14,0,12,-0.325015102835688,0
1110,26,24,20,20,1.11174373124591,1
1112,9,6,5,3,-1.34870472480419,0
1113,16,10,3,2,-1.0179749158138,0
1184,26,20,19,17,0.823739328083845,1
1208,12,9,5,5,-1.04413719595792,0
1210,22,16,21,15,0.507488569865861,1
1241,9,4,10,11,-0.970224146464411,0
1262,16,8,9,5,-0.786174529874329,0
1271,24,17,16,13,0.389239229129472,1
1293,23,25,21,20,1.0592556369638,1
1302,24,13,15,5,-0.0783900170221168,0
1372,15,7,7,4,-0.965561330200829,0
1382,15,13,10,8,-0.502100233872852,0
1391,17,0,0,0,-1.51611960286973,0
1401,24,19,14,11,0.325142414144786,1
1443,26,24,24,23,1.35129723939651,1
1460,24,23,26,23,1.29886269116943,1
1490,3,6,1,1,-1.79684117748911,0
1505,25,18,14,12,0.36499748990328,1
1673,26,23,22,19,1.10488685213167,1
1676,26,22,20,13,0.786626527671013,1
1691,8,5,2,2,-1.56103617571991,0
1706,16,14,21,21,0.404888044931494,1
1714,24,20,15,12,0.430833245026695,1
1715,21,18,19,18,0.582265279015327,1
1750,26,24,13,15,0.70150633413184,1
1751,26,21,17,16,0.758746270002281,1
1756,11,7,0,1,-1.46695406554058,0
1762,24,19,8,5,-0.088075300977968,0
1768,10,8,7,4,-1.1324967127829,0
1790,17,11,0,0,-1.11108627422712,0
1798,26,21,20,13,0.74980531597623,1
1812,26,22,17,14,0.723717544501254,1
1818,19,12,11,7,-0.378896488154832,0
1868,26,22,23,17,1.02916035383029,1
1869,26,24,19,18,1.00694914346088,1
1878,25,21,23,21,1.09528769767176,1
1887,25,23,22,22,1.17191043907001,1
1901,22,18,10,12,0.110964930980281,1
1916,23,22,15,15,0.571499255354602,1
1921,25,23,24,21,1.20187477165055,1
1936,24,12,13,8,-0.0733256241016274,0
1939,26,22,16,11,0.582997988118319,1
1940,22,15,6,11,-0.167202275058856,0
1951,26,24,24,22,1.3153722707986,1
1964,14,13,7,9,-0.605760535897982,0
1966,26,23,20,17,0.967147613757414,1
2085,26,22,4,0,-0.207512473529284,0
2090,26,22,19,16,0.861456782875506,1
2091,24,19,13,11,0.292197763555565,1
2106,20,16,4,7,-0.421472876644877,0
2110,6,5,4,5,-1.4688746064585,0
2116,24,21,22,20,0.985666759629262,1
2117,13,6,0,0,-1.45819760812252,0
2118,19,13,9,9,-0.336114640442682,0
2135,26,25,17,17,0.941956085379316,1
2136,22,10,15,8,-0.162581384023494,0
2171,12,7,6,1,-1.22853484314988,0
2172,14,8,4,2,-1.14017532632489,0
2173,21,19,11,13,0.175904443006818,1
2174,15,5,0,0,-1.41351618210656,0
2186,20,12,13,8,-0.236330899523114,0
2212,22,19,12,10,0.141825506657696,1
2213,25,22,9,4,0.0601593349530678,1
2214,26,24,20,19,1.07581876264801,1
2244,24,21,12,8,0.225120630562195,1
2259,25,21,17,14,0.6461450139511,1
2289,13,9,4,3,-1.10818046488758,0
2316,8,5,0,0,-1.69877541409416,0
2330,20,17,11,8,-0.118114142227642,0
