subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,PDE,SWE,WJ_BRS,Age,AlphabetKnowledge,visit
1490,Visit 3,Letter,8,9,0,10,0,79,8,7,NaN,NaN,NaN,59.182476456417,17,post
1490,Visit 4,Letter,45,47,1,11,3,102,6,4,84,86,98,69.034690283253,92,oneyear
1505,Visit 2,Language,39,30,0,12,2,103,12,9,NaN,NaN,NaN,64.241221346182,69,pre
1505,Visit 3,Language,38,30,0,11,1,99,11,10,NaN,NaN,NaN,NaN,68,post
1673,Visit 2,Letter,48,42,0,15,0,77,18,11,NaN,NaN,NaN,61.217696014017,90,pre
1673,Visit 3,Letter,48,46,1,8,2,85,15,12,NaN,NaN,NaN,62.078679369251,94,post
1673,Visit 4,Letter,51,50,14,13,3,94,18,12,81,84,106,72.6548127463863,101,oneyear
1676,Visit 2,Letter,46,35,0,14,0,79,8,8,NaN,NaN,NaN,63.654479668565,81,pre
1676,Visit 3,Letter,47,47,10,12,3,84,16,11,NaN,NaN,NaN,64.606671594393,94,post
1676,Visit 4,Letter,51,51,1,12,7,82,12,9,89,109,110,75.1828277850781,102,oneyear
1691,Visit 2,Letter,10,7,0,7,1,75,9,8,NaN,NaN,NaN,57.574326544021,17,pre
1691,Visit 3,Letter,15,12,0,9,3,81,13,11,NaN,NaN,NaN,58.72351346912,27,post
1691,Visit 4,Letter,46,39,10,13,8,89,11,9,87,79,102,69.6661465177398,85,oneyear
1706,Visit 2,Letter,37,35,5,15,3,81,17,13,NaN,NaN,NaN,62.173538107753,72,pre
1706,Visit 3,Letter,42,38,9,12,4,97,14,11,NaN,NaN,NaN,64.375022813549,80,post
1706,Visit 4,Letter,50,52,12,17,9,99,19,14,89,98,104,73.3068011753541,102,oneyear
1714,Visit 2,Letter,39,32,0,11,2,97,9,6,NaN,NaN,NaN,65.657167104687,71,pre
1714,Visit 3,Letter,45,44,1,7,0,81,19,13,NaN,NaN,NaN,67.264153526062,89,post
1714,Visit 4,Letter,52,48,16,14,9,105,13,11,95,80,98,76.661510804497,100,oneyear
1715,Visit 2,Letter,40,36,0,6,0,86,12,9,NaN,NaN,NaN,66.243315630019,76,pre
1715,Visit 3,Letter,45,45,16,11,4,93,10,8,NaN,NaN,NaN,67.490053292451,90,post
1750,Visit 2,Language,39,39,0,8,0,86,0,0,NaN,NaN,NaN,63.78599978099,78,pre
1750,Visit 3,Language,40,39,0,9,0,91,10,10,NaN,NaN,NaN,64.997399255366,79,post
1750,Visit 4,Language,52,50,17,16,7,102,16,11,89,89,109,73.8420070448241,102,oneyear
1751,Visit 2,Letter,43,37,0,11,0,97,17,13,NaN,NaN,NaN,60.33385348226,80,pre
1751,Visit 3,Letter,46,40,0,7,0,93,17,11,NaN,NaN,NaN,61.942208716601,86,post
1751,Visit 4,Letter,51,49,11,11,5,112,20,14,84,87,100,71.2126770331435,100,oneyear
1756,Visit 2,Language,11,8,0,6,1,102,19,11,NaN,NaN,NaN,65.328651992992,19,pre
1756,Visit 3,Language,13,5,0,11,1,104,18,12,NaN,NaN,NaN,66.572902978537,18,post
1756,Visit 4,Language,51,51,14,12,4,110,19,13,104,79,100,75.1836262593079,102,oneyear
1762,Visit 2,Letter,32,24,0,8,2,70,10,9,NaN,NaN,NaN,61.123658563294,56,pre
1762,Visit 3,Letter,37,31,0,9,1,68,16,13,NaN,NaN,NaN,62.269879726967,68,post
1762,Visit 4,Letter,51,46,13,14,4,67,5,4,104,91,105,73.2479650313914,97,oneyear
1768,Visit 2,Letter,17,12,0,9,2,94,15,11,NaN,NaN,NaN,61.580842093736,29,pre
1768,Visit 3,Letter,23,17,0,8,1,99,11,9,NaN,NaN,NaN,63.190748649438,40,post
1790,Visit 2,Letter,17,11,0,10,0,77,3,3,NaN,NaN,NaN,62.701899912396,28,pre
1790,Visit 3,Letter,23,25,2,11,1,84,10,7,NaN,NaN,NaN,63.684707621551,48,post
1790,Visit 4,Letter,51,50,16,14,4,99,8,8,97,86,103,73.1459428383706,101,oneyear
1798,Visit 2,Language,46,34,0,12,1,75,14,9,NaN,NaN,NaN,62.474403197547,80,pre
1798,Visit 3,Language,44,37,0,9,1,81,7,7,NaN,NaN,NaN,64.145358811505,81,post
1798,Visit 4,Language,49,44,13,11,4,90,15,10,97,101,113,72.815785151117,93,oneyear
1812,Visit 2,Language,43,36,0,8,1,67,16,13,NaN,NaN,NaN,58.952219302088,79,pre
1812,Visit 3,Language,39,30,0,10,3,82,21,14,NaN,NaN,NaN,60.561350197109,69,post
1812,Visit 4,Language,52,52,20,18,7,94,13,11,116,107,126,69.3974941597314,104,oneyear
1818,Visit 2,Letter,30,19,0,8,2,88,6,6,NaN,NaN,NaN,61.38647065265,49,pre
1818,Visit 3,Letter,39,23,0,8,1,80,9,8,NaN,NaN,NaN,NaN,62,post
