# {"exp_name": "ShowImages", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 24414, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["lctrl", "rctrl"], "participant": "ttt", "monitor": null, "trigger_controller": null, "session": "1", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": false, "verbose": null, "date": "2019-01-10 16_58_23.430812", "file": "/home/sjjoo/git/SSWEF/expcode/r21_ssvep_blocked.py", "version_used": "2.0.0.dev0+4c31ad2"}
timestamp	event	value
3.12484002113	flip	3.12483000755
3.1586689949	flip	3.15866184235
3.19241499901	flip	3.19240903854
3.22557687759	flip	3.2255730629
3.25887393951	flip	3.25886893272
3.29222893715	flip	3.29222393036
3.32571005821	flip	3.3257060051
3.35803604126	flip	3.35803198814
3.39131689072	flip	3.39131402969
3.42465496063	flip	3.42465090752
3.45800685883	flip	3.4580039978
3.49219799042	flip	3.49219489098
3.52468490601	flip	3.52468204498
3.55799484253	flip	3.55799198151
3.59130692482	flip	3.5913040638
3.62465786934	flip	3.62465500832
3.65799593925	flip	3.65799283981
3.69132304192	flip	3.69131994247
3.72466897964	flip	3.7246658802
3.75799798965	flip	3.75799584389
3.79131793976	flip	3.79131484032
3.82466292381	flip	3.82466101646
3.85799098015	flip	3.85798788071
8.38993692398	flip	8.38993000984
8.42403697968	flip	8.42402887344
8.47363996506	flip	8.47363305092
13.4741559029	dotcolorFix	k
13.5067920685	flip	13.506788969
13.5068449974	imtype	Base
13.540127039	flip	13.5401239395
13.6067688465	flip	13.6067659855
13.6069149971	dotcolorFix	g
13.6729538441	imtype	Base
13.7067859173	flip	13.7067830563
13.7734520435	flip	13.7734498978
13.8396298885	imtype	Base
13.8734560013	flip	13.8734529018
13.9401109219	flip	13.9401080608
14.0062959194	imtype	Base
14.0401189327	flip	14.0401170254
14.1067860126	flip	14.1067838669
14.1729550362	imtype	Base
14.2067859173	flip	14.2067830563
14.2734458447	flip	14.2734429836
14.3396298885	imtype	Base
14.3734650612	flip	14.3734619617
14.4401168823	flip	14.4401140213
14.5062909126	imtype	Base
14.54134202	flip	14.5413389206
14.6079978943	flip	14.6079950333
14.672962904	imtype	Base
14.7079880238	flip	14.7079849243
14.7746658325	flip	14.7746629715
14.8396248817	imtype	Base
14.8746700287	flip	14.8746669292
14.9413259029	flip	14.9413230419
15.0062880516	imtype	Base
15.041426897	flip	15.041424036
15.1079928875	flip	15.1079900265
15.172962904	imtype	Base
15.2080049515	flip	15.208001852
15.2746589184	flip	15.2746560574
15.3396248817	imtype	Base
15.3746688366	flip	15.3746669292
15.4413280487	flip	15.4413249493
15.506289959	imtype	Base
15.5063259602	Start	None
15.541328907	flip	15.541326046
15.5414729118	dotcolorFix	b
15.6079928875	flip	15.6079909801
15.6729588509	imtype	Base
15.7079918385	flip	15.7079889774
15.7746469975	flip	15.774643898
15.8396239281	imtype	Oddball
15.874655962	flip	15.8746528625
15.9413239956	flip	15.9413208961
16.0062890053	imtype	Base
16.041326046	flip	16.0413229465
16.1079819202	flip	16.1079790592
16.172960043	imtype	Base
16.2079918385	flip	16.2079889774
16.2746469975	flip	16.2746448517
16.3396220207	imtype	Oddball
16.3746469021	flip	16.3746449947
16.4413218498	flip	16.4413199425
16.5062918663	imtype	Base
16.5413179398	flip	16.5413148403
16.6079728603	flip	16.607970953
16.6729619503	imtype	Base
16.7079849243	flip	16.7079820633
16.7746610641	flip	16.7746579647
16.8396279812	imtype	Oddball
16.8746478558	flip	16.8746459484
16.9413130283	flip	16.9413108826
17.0062959194	imtype	Base
17.0413210392	flip	17.0413188934
17.1079728603	flip	17.1079699993
17.1729550362	imtype	Base
17.2080180645	flip	17.2080159187
17.2746758461	flip	17.2746729851
17.3396229744	imtype	Oddball
17.3746938705	flip	17.3746910095
17.4413459301	flip	17.4413440228
17.5062918663	imtype	Base
17.5413479805	flip	17.5413448811
17.6080200672	flip	17.6080169678
17.6730239391	dotcolorFix	g
17.6730599403	imtype	Base
17.7080218792	flip	17.7080190182
17.7746758461	flip	17.7746729851
17.8396248817	imtype	Oddball
17.8746700287	flip	17.8746669292
17.941341877	flip	17.941339016
18.0062949657	imtype	Base
18.0413439274	flip	18.0413410664
18.1079978943	flip	18.1079950333
18.1729619503	imtype	Base
18.2080109119	flip	18.2080080509
18.2746698856	flip	18.2746670246
18.3396229744	imtype	Oddball
18.3746750355	flip	18.374671936
18.4413409233	flip	18.441339016
18.5062880516	imtype	Base
18.5413458347	flip	18.5413429737
18.6080019474	flip	18.607998848
18.6729588509	imtype	Base
18.7080008984	flip	18.7079980373
18.7746670246	flip	18.7746639252
18.8396289349	imtype	Oddball
18.8746619225	flip	18.8746600151
18.9413268566	flip	18.9413239956
19.0062880516	imtype	Base
19.0413298607	flip	19.041326046
19.1079959869	flip	19.1079928875
19.1729609966	imtype	Base
19.2079908848	flip	19.2079880238
19.2746639252	flip	19.2746610641
19.3396258354	imtype	Oddball
19.3746688366	flip	19.3746659756
19.4413259029	flip	19.4413230419
19.5062909126	imtype	Base
19.5413320065	flip	19.541328907
19.607986927	flip	19.607984066
19.6730308533	dotcolorFix	r
19.6730668545	imtype	Base
19.7079980373	flip	19.7079949379
