# {"exp_name": "ShowImages", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 24414, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["lctrl", "rctrl"], "participant": "ttt", "monitor": null, "trigger_controller": null, "session": "1", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": false, "verbose": null, "date": "2019-01-09 12_05_31.687140", "file": "/home/sjjoo/git/SSWEF/expcode/r21_event_related.py", "version_used": "2.0.0.dev0+4c31ad2"}
timestamp	event	value
2.42306900024	flip	2.42306303978
2.45571303368	flip	2.45570707321
2.48894309998	flip	2.48893809319
2.52240014076	flip	2.52239513397
2.55577421188	flip	2.55576920509
2.59294819832	flip	2.5929441452
2.62265610695	flip	2.62265205383
2.65984916687	flip	2.65984511375
2.69170022011	flip	2.6916911602
2.72244811058	flip	2.72244405746
2.75548911095	flip	2.75548601151
2.78881716728	flip	2.78881406784
2.8221590519	flip	2.82215619087
2.85544013977	flip	2.85543608665
2.88905906677	flip	2.88905620575
2.9221432209	flip	2.92214012146
2.95548820496	flip	2.95548510551
2.98882007599	flip	2.98881721497
3.02215123177	flip	3.02214717865
3.05546021461	flip	3.05545711517
3.08879804611	flip	3.08879423141
3.12212920189	flip	3.12212610245
3.15548205376	flip	3.15547919273
19.555809021	flip	19.5558011532
19.5887620449	flip	19.5887541771
19.6388480663	flip	19.6388421059
24.6393370628	dotcolorFix	k
24.6719892025	flip	24.6719861031
24.6720371246	imnumber	104
24.6720690727	imtype	2
24.7052891254	flip	24.705286026
24.7716770172	flip	24.7716741562
24.7718191147	dotcolorFix	r
24.8050200939	flip	24.8050172329
24.8383140564	flip	24.8383111954
24.871587038	flip	24.8715851307
24.9049201012	flip	24.9049170017
24.9382550716	flip	24.9382522106
24.9715871811	flip	24.9715840816
25.0049221516	flip	25.0049190521
25.0382511616	flip	25.0382490158
25.0715939999	flip	25.0715911388
25.1049191952	flip	25.1049160957
25.1382541656	flip	25.1382510662
25.1716690063	flip	25.1716661453
25.2050142288	flip	25.2050111294
25.2051570415	dotcolorFix	y
25.2383460999	flip	25.2383430004
25.271682024	flip	25.271679163
25.3050072193	flip	25.3050050735
25.338353157	flip	25.3383500576
25.3716681004	flip	25.3716650009
25.4050190449	flip	25.4050161839
25.4383502007	flip	25.4383471012
25.4716770649	flip	25.4716742039
25.5050170422	flip	25.5050141811
25.5383460522	flip	25.5383431911
25.5716781616	flip	25.5716760159
25.6050112247	flip	25.6050081253
25.6383450031	flip	25.6383421421
25.6716871262	flip	25.6716840267
25.7050020695	flip	25.7049992085
25.7383491993	flip	25.7383460999
25.7716710567	flip	25.7716681957
25.805008173	flip	25.8050060272
25.838340044	flip	25.838337183
25.8715851307	flip	25.8715820312
25.8717272282	dotcolorFix	b
25.9049270153	flip	25.9049241543
25.9384942055	flip	25.938491106
25.9716780186	flip	25.9716751575
26.0050070286	flip	26.0050041676
26.0383450985	flip	26.0383431911
26.071668148	flip	26.0716650486
26.1050021648	flip	26.1049990654
26.1383311749	flip	26.1383280754
26.1716701984	flip	26.171667099
26.2049732208	flip	26.2049701214
26.2383341789	flip	26.2383310795
26.2716670036	flip	26.2716641426
26.2718091011	dotcolorFix	g
26.3050122261	flip	26.3050100803
26.3383381367	flip	26.3383350372
26.3716602325	flip	26.3716571331
26.4049961567	flip	26.4049930573
26.4383342266	flip	26.4383311272
26.4716701508	flip	26.4716670513
26.5049951077	flip	26.5049920082
26.5383331776	flip	26.5383300781
26.5716631413	flip	26.5716612339
26.6049950123	flip	26.6049921513
26.638335228	flip	26.6383321285
26.6716680527	flip	26.6716651917
26.7050201893	flip	26.7050142288
26.7383301258	flip	26.7383270264
26.7716650963	flip	26.7716622353
26.8050050735	flip	26.8050031662
26.8383231163	flip	26.8383200169
26.8715631962	flip	26.8715600967
26.8717060089	dotcolorFix	r
26.9049050808	flip	26.9049022198
26.9382300377	flip	26.9382281303
26.9715631008	flip	26.9715600014
27.004899025	flip	27.0048961639
27.0382351875	flip	27.0382320881
27.0715630054	flip	27.0715601444
27.1049001217	flip	27.1048970222
27.1049871445	imnumber	81
27.1050310135	imtype	2
27.1382391453	flip	27.1382360458
27.1716592312	flip	27.1716561317
27.2050001621	flip	27.2049970627
27.242852211	flip	27.2428491116
27.2430021763	dotcolorFix	c
27.2719371319	flip	27.2719340324
27.3049860001	flip	27.3049840927
27.3383131027	flip	27.3383100033
27.3716511726	flip	27.3716480732
27.4049861431	flip	27.4049830437
27.4383192062	flip	27.4383161068
27.4716610909	flip	27.4716591835
27.504997015	flip	27.504994154
27.5383191109	flip	27.5383172035
27.5716621876	flip	27.5716590881
27.6049802303	flip	27.6049771309
27.6383161545	flip	27.638313055
27.6716451645	flip	27.671642065
27.7049732208	flip	27.7049701214
27.7383131981	flip	27.7383100986
27.7716472149	flip	27.7716450691
27.8049812317	flip	27.8049781322
27.8051240444	dotcolorFix	b
27.8383150101	flip	27.838312149
27.8715751171	flip	27.8715720177
27.9048960209	flip	27.9048931599
27.9382271767	flip	27.9382240772
27.9715621471	flip	27.9715590477
28.0048880577	flip	28.0048861504
28.0382261276	flip	28.0382230282
28.0715579987	flip	28.0715551376
28.1048760414	flip	28.1048741341
28.1382191181	flip	28.1382160187
28.1716501713	flip	28.1716470718
28.2049860954	flip	28.2049832344
28.2383110523	flip	28.2383081913
28.2716581821	flip	28.2716560364
28.3049740791	flip	28.3049712181
28.3383171558	flip	28.3383150101
28.338504076	dotcolorFix	y
28.3716421127	flip	28.3716390133
28.4049811363	flip	28.4049780369
28.4383130074	flip	28.4383101463
28.4716451168	flip	28.4716420174
28.5049760342	flip	28.5049731731
28.5383150578	flip	28.5383121967
28.5716350079	flip	28.5716321468
28.6049780846	flip	28.6049752235
28.6383121014	flip	28.6383090019
28.6716451645	flip	28.671642065
28.7049720287	flip	28.7049691677
28.7051730156	dotcolorFix	r
28.7383141518	flip	28.7383110523
28.7716500759	flip	28.7716472149
28.8049750328	flip	28.8049721718
28.8383071423	flip	28.8383040428
28.8715641499	flip	28.8715610504
28.9048821926	flip	28.9048790932
28.9382200241	flip	28.9382171631
28.9716432095	flip	28.9716410637
29.0049772263	flip	29.0049750805
29.03829813	flip	29.0382950306
29.0716481209	flip	29.0716450214
29.1049690247	flip	29.1049661636
29.1383140087	flip	29.1383111477
29.1716310978	flip	29.1716279984
29.2049732208	flip	29.2049701214
29.2051591873	dotcolorFix	g
29.2382941246	flip	29.2382910252
29.2716372013	flip	29.2716341019
29.3049750328	flip	29.3049731255
29.3383052349	flip	29.3383030891
29.3716270924	flip	29.3716242313
29.4073240757	flip	29.4073212147
29.4385890961	flip	29.438586235
29.4716341496	flip	29.4716310501
29.5049650669	flip	29.5049622059
29.5050890446	imnumber	25
29.505133152	imtype	2
29.5383071899	flip	29.5383040905
29.57162714	flip	29.5716240406
29.6049590111	flip	29.6049561501
29.6382911205	flip	29.6382892132
29.6716270447	flip	29.6716241837
29.7049570084	flip	29.704955101
29.7051451206	dotcolorFix	c
29.738296032	flip	29.7382931709
29.7716271877	flip	29.771625042
29.8049550056	flip	29.8049521446
29.8382940292	flip	29.8382911682
29.871543169	flip	29.8715400696
29.9048640728	flip	29.9048621655
29.9381952286	flip	29.9381921291
29.9715270996	flip	29.9715251923
30.004858017	flip	30.0048551559
30.03820014	flip	30.0381982327
30.0716230869	flip	30.0716202259
30.1049551964	flip	30.1049520969
30.1382861137	flip	30.1382842064
30.1716160774	flip	30.1716132164
30.2049372196	flip	30.2049341202
30.2382831573	flip	30.2382810116
30.2716221809	flip	30.2716200352
30.3049530983	flip	30.3049511909
30.3051400185	dotcolorFix	b
30.3382880688	flip	30.3382852077
30.3716211319	flip	30.3716180325
30.4049432278	flip	30.4049401283
30.4382820129	flip	30.4382801056
30.4716191292	flip	30.4716172218
30.5049550533	flip	30.5049521923
30.5382812023	flip	30.5382781029
30.5716190338	flip	30.5716161728
30.6049551964	flip	30.6049520969
30.6382842064	flip	30.6382811069
30.6716110706	flip	30.6716082096
30.7049510479	flip	30.7049481869
30.7382800579	flip	30.7382781506
30.7716171741	flip	30.7716140747
30.7718031406	dotcolorFix	c
30.8049390316	flip	30.8049361706
30.8382761478	flip	30.8382740021
30.871530056	flip	30.871527195
30.9048531055	flip	30.9048500061
30.938185215	flip	30.9381821156
30.9715192318	flip	30.971517086
31.004846096	flip	31.004843235
31.0381820202	flip	31.0381791592
31.0716102123	flip	31.0716071129
31.1049392223	flip	31.1049370766
31.1382730007	flip	31.1382701397
31.1716060638	flip	31.1716032028
31.2049300671	flip	31.204927206
