mag,grad,rval
3e-12,1e-10,-1.0
3.5e-12,1e-10,-1.0
4e-12,1e-10,-1.0
4.5e-12,1e-10,-1.0
5e-12,1e-10,-1.0
5.4999999999999996e-12,1e-10,-1.0
6e-12,1e-10,-1.0
6.5e-12,1e-10,-1.0
7e-12,1e-10,-1.0
7.5e-12,1e-10,-1.0
8e-12,1e-10,-1.0
8.5e-12,1e-10,-1.0
9e-12,1e-10,-1.0
9.5e-12,1e-10,-1.0
1e-11,1e-10,-1.0
3e-12,1.25e-10,-1.0
3.5e-12,1.25e-10,-1.0
4e-12,1.25e-10,-1.0
4.5e-12,1.25e-10,-1.0
5e-12,1.25e-10,0.5185594466787877
5.4999999999999996e-12,1.25e-10,0.5239325213502943
6e-12,1.25e-10,0.5235469776294458
6.5e-12,1.25e-10,0.525928754598729
7e-12,1.25e-10,0.5258642579423061
7.5e-12,1.25e-10,0.5258642579423061
8e-12,1.25e-10,0.5270763758838023
8.5e-12,1.25e-10,0.5269414003581286
9e-12,1.25e-10,0.5269414003581286
9.5e-12,1.25e-10,0.5269414003581286
1e-11,1.25e-10,0.5269414003581286
3e-12,1.5e-10,-1.0
3.5e-12,1.5e-10,-1.0
4e-12,1.5e-10,-1.0
4.5e-12,1.5e-10,0.5251251126415588
5e-12,1.5e-10,0.5285695866103401
5.4999999999999996e-12,1.5e-10,0.5328378011292125
6e-12,1.5e-10,0.5345861522793617
6.5e-12,1.5e-10,0.5361792952513673
7e-12,1.5e-10,0.5380340719527442
7.5e-12,1.5e-10,0.5380340719527442
8e-12,1.5e-10,0.5392461898942404
8.5e-12,1.5e-10,0.5391112143685668
9e-12,1.5e-10,0.5395096756956372
9.5e-12,1.5e-10,0.5395096756956372
1e-11,1.5e-10,0.5395096756956372
3e-12,1.7500000000000002e-10,-1.0
3.5e-12,1.7500000000000002e-10,-1.0
4e-12,1.7500000000000002e-10,-1.0
4.5e-12,1.7500000000000002e-10,0.5260178749491846
5e-12,1.7500000000000002e-10,0.5305503174368503
5.4999999999999996e-12,1.7500000000000002e-10,0.5332127988278808
6e-12,1.7500000000000002e-10,0.5327489132788168
6.5e-12,1.7500000000000002e-10,0.5340997995304989
7e-12,1.7500000000000002e-10,0.5337989081594094
7.5e-12,1.7500000000000002e-10,0.5332483287428016
8e-12,1.7500000000000002e-10,0.5344604466842979
8.5e-12,1.7500000000000002e-10,0.5343254711586243
9e-12,1.7500000000000002e-10,0.5346164506454457
9.5e-12,1.7500000000000002e-10,0.5346164506454457
1e-11,1.7500000000000002e-10,0.5346164506454457
3e-12,2e-10,-1.0
3.5e-12,2e-10,-1.0
4e-12,2e-10,-1.0
4.5e-12,2e-10,0.5265435605321243
5e-12,2e-10,0.5331757296810121
5.4999999999999996e-12,2e-10,0.5345745238622703
6e-12,2e-10,0.5339071533691729
6.5e-12,2e-10,0.5333241982654071
7e-12,2e-10,0.5340793299518911
7.5e-12,2e-10,0.5346754395818137
8e-12,2e-10,0.5363314932996412
8.5e-12,2e-10,0.5361965177739675
9e-12,2e-10,0.5358125495862772
