subj,cond,rval_lh,rval_rh,n_epochs_post,n_epochs_pre
prek_1103,cars,0.3166482064352664,0.3947012203345759,30,30
prek_1103,faces,0.6773331709037501,0.7584812681785346,30,30
prek_1103,words,0.6950929076737493,0.6408228749979863,30,30
prek_1110,cars,0.8139792016930111,0.6791288349405643,30,30
prek_1110,faces,0.7595828793810937,0.5392196130295667,30,30
prek_1110,words,0.4720580786465652,0.5356755503379856,30,30
prek_1112,cars,0.7177124655105477,0.4876893456107028,27,30
prek_1112,faces,0.7459507477532396,0.34981776249661817,23,30
prek_1112,words,0.7668012368939239,-0.3487763396922302,23,30
prek_1113,cars,0.620763186167319,0.5336551417059998,30,29
prek_1113,faces,0.7919472642257931,0.27034571249382583,30,30
prek_1113,words,0.6079800902074646,0.3836462058718593,30,30
prek_1184,cars,0.3654545795947519,0.4340854053881863,24,30
prek_1184,faces,0.5630846179761073,0.5557467261657454,24,30
prek_1184,words,0.451906495050517,0.6314109314020799,25,30
prek_1208,cars,0.6948106671213777,0.6331429976976133,30,30
prek_1208,faces,0.7487727891087993,0.7793076290432603,30,30
prek_1208,words,0.5311661989700792,0.485872282681267,30,30
prek_1241,cars,0.6955071262759479,0.2895313581446601,30,30
prek_1241,faces,0.586842986398989,0.6852651981580805,30,30
prek_1241,words,0.809250277487562,0.5726273952885383,30,30
prek_1262,cars,0.7210351342126708,0.6818320097660747,30,30
prek_1262,faces,0.24804167084102965,0.4961008339079949,30,30
prek_1262,words,0.7676976173751674,0.6476652039764168,30,30
prek_1271,cars,0.7809048849653198,0.8691219273246097,30,30
prek_1271,faces,0.2506869938385146,0.8085446326341945,30,30
prek_1271,words,0.6199023141484284,0.6130499305699758,30,30
prek_1293,cars,0.7670940309041291,0.6686430742338544,30,30
prek_1293,faces,0.4344358540301305,0.4384670039114813,30,29
prek_1293,words,0.3957943629584073,0.3412820965112391,30,30
prek_1302,cars,0.4868020580236826,0.3659681370579888,30,30
prek_1302,faces,0.5317215889617347,0.7137315416089244,30,30
prek_1302,words,0.19731267062241395,0.6213112991085535,30,30
prek_1372,cars,0.09043986185813936,0.4741333113381134,30,29
prek_1372,faces,0.1721722987893438,-0.3040814734522406,30,30
prek_1372,words,0.3759769636234671,0.4859293209365587,30,30
prek_1382,cars,0.7672164604814973,0.7135434468853067,30,30
prek_1382,faces,0.5707613479945021,0.5604365304413023,30,30
prek_1382,words,-0.20228391116975772,0.6818453707346208,30,30
prek_1391,cars,0.7328332191394418,0.7929558018301041,29,27
prek_1391,faces,0.12949100165735694,0.6032078037761343,29,28
prek_1391,words,0.3172666640184549,0.6619334709734137,29,28
prek_1401,cars,0.4580836656030326,0.5846202119836095,30,30
prek_1401,faces,0.3225645474709944,0.5692633870945628,30,30
prek_1401,words,0.501447346420902,0.6569918749381989,30,30
prek_1443,cars,0.4987438483594279,0.4649530631417551,30,30
prek_1443,faces,0.35060725628194234,0.6345114897708133,30,28
prek_1443,words,0.33956119902664755,0.7190773975561648,29,29
prek_1460,cars,0.023486053696015183,0.3016275451742937,30,30
prek_1460,faces,0.4602306304192755,0.2062695414989001,30,30
prek_1460,words,0.4605857160996314,0.6019423843121936,30,30
prek_1490,cars,0.7630157523419979,0.7746422878858125,30,30
prek_1490,faces,0.7215734964668148,0.8739996828875662,30,30
prek_1490,words,0.7429542455698199,0.43503414423845504,30,30
prek_1505,cars,0.6538185589934272,0.7348540107463287,29,30
prek_1505,faces,0.6524087706762305,0.280638345326586,30,28
prek_1505,words,0.5908338329715682,0.5289392326910654,30,30
prek_1673,cars,0.7253227989309063,0.6679497432782228,30,30
prek_1673,faces,-0.057009685357292124,0.6910614899257835,30,30
prek_1673,words,0.6490111326877662,0.8219589661196263,30,30
prek_1676,cars,0.6559359355173605,0.3105280550647221,29,28
prek_1676,faces,-0.0881155327232995,0.5991762625952651,30,30
prek_1676,words,0.6737878835805355,0.7324825435656468,30,30
prek_1691,cars,0.40145638644037396,-0.04353809311588146,30,30
prek_1691,faces,0.7273558233114166,0.7467778969078982,30,30
prek_1691,words,0.06257888514103438,0.7069582217084294,30,30
prek_1706,cars,0.3745143553520098,0.4894411848527592,30,30
prek_1706,faces,0.445086258981444,0.4673486003321484,30,30
prek_1706,words,0.6513569031378932,0.6870211430004562,29,30
prek_1714,cars,0.2329119394629097,0.3591669274860204,30,30
prek_1714,faces,0.7117887903147418,-0.026455720591579357,30,30
prek_1714,words,0.6082573385574095,0.450316839820493,30,30
prek_1715,cars,0.30386424249835275,0.4899664003221753,30,30
prek_1715,faces,0.5140179651034502,0.7280414716493493,30,30
prek_1715,words,0.6732607836942864,0.6451619806671604,30,30
prek_1750,cars,0.31275575216973506,0.7223935249410083,30,30
prek_1750,faces,0.6479574337403503,0.8624287215053517,31,30
prek_1750,words,0.6229026541764806,0.7842849923537875,30,30
prek_1756,cars,0.16399759098835334,0.06518809093741339,30,30
prek_1756,faces,0.645485908025766,0.7771330928365046,29,30
prek_1756,words,0.5559848391339292,0.570898399135461,28,30
prek_1762,cars,0.6319216993606072,0.5618222141106501,30,30
prek_1762,faces,0.9074353930210292,0.7923804206269569,30,30
prek_1762,words,0.18479865550495464,0.6180652211474116,30,30
prek_1768,cars,0.586377719707394,0.8103331878505696,30,30
prek_1768,faces,0.771491645466176,0.4496442120701677,30,30
prek_1768,words,0.663056048107308,0.7530349461479987,30,30
prek_1790,cars,0.4537785567738939,0.5891079576672497,29,30
prek_1790,faces,0.7438905269996297,0.6157581419967133,29,30
prek_1790,words,0.2576619384071426,0.22326748110387587,30,30
prek_1798,cars,0.3084029292823919,0.7969382779166918,30,30
prek_1798,faces,0.5167942274566162,0.684313255728891,30,30
prek_1798,words,0.6101280669191218,0.5998069624632372,30,30
prek_1812,cars,0.4844583803142049,0.4603815001148075,29,30
prek_1812,faces,0.6716235258874594,0.4444353251139961,30,30
prek_1812,words,0.6119337264339909,0.5832152481619656,30,30
prek_1818,cars,-0.4094937627715301,0.38844735792102825,29,30
prek_1818,faces,0.3397123168751937,0.8045415698094391,28,30
prek_1818,words,0.09788683365581924,0.5704878126663174,28,30
prek_1868,cars,0.310558796291438,0.2297566102102519,30,30
prek_1868,faces,0.6741460637013473,0.7040131381700355,30,30
prek_1868,words,0.36076668651846266,0.5232503910117506,30,30
prek_1869,cars,0.8781367866912629,0.918210825003992,30,30
prek_1869,faces,0.7980106077069119,0.6303631096022942,30,30
prek_1869,words,0.7876029058941705,0.8564932275146665,30,30
prek_1878,cars,0.6428901900257583,0.7242329892498297,30,30
prek_1878,faces,0.8370780217828669,0.5179948348282237,30,30
prek_1878,words,0.7693334783292635,0.8593005645241474,30,30
prek_1887,cars,0.7188065844556372,0.5492182187355592,30,30
prek_1887,faces,0.4402001175497404,0.3529832750356089,30,30
prek_1887,words,0.6132634581592077,0.5278493050272157,30,30
prek_1901,cars,0.184105341603108,0.8731080858961691,30,30
prek_1901,faces,0.8813094844117758,0.6283372848610639,30,30
prek_1901,words,0.6162571088129196,0.5469488198155734,30,29
prek_1916,cars,0.6877628448708573,0.4633229439609538,30,30
prek_1916,faces,0.7456676605331841,0.7908185559694635,30,30
prek_1916,words,0.3661800459407093,0.02910351369280651,30,30
prek_1921,cars,0.22563250034976576,-0.1041273907936234,30,30
prek_1921,faces,0.23994777471253745,0.7035584321251647,30,30
prek_1921,words,0.2372762305253924,-0.01563447094257089,30,30
prek_1936,cars,0.7395282701575585,0.8853081245163297,30,29
prek_1936,faces,0.467894903540916,0.8444899257456873,30,30
prek_1936,words,0.6485432997403633,0.8263877846231887,30,30
prek_1939,cars,0.6158075563733444,0.5883310223214592,30,30
prek_1939,faces,0.5268371342655807,0.6624543298485707,31,30
prek_1939,words,0.39984377713876856,0.4096358591100125,29,30
prek_1940,cars,0.655222496695145,0.8022787401078035,29,30
prek_1940,faces,0.6020997375052928,0.8461594765727916,28,30
prek_1940,words,0.6930235665960168,0.4691259618418898,28,30
prek_1951,cars,0.7238426742679628,0.5496838849353869,30,30
prek_1951,faces,0.14847052694530236,0.5845270437669111,30,30
prek_1951,words,0.4525145568809307,0.7462290371090129,30,30
prek_1964,cars,0.1951707066279021,0.4624543882176265,30,30
prek_1964,faces,0.7307110145616529,0.4059811367556875,30,30
prek_1964,words,0.5768980869825331,0.4997463516021781,30,30
prek_1966,cars,0.7572421076188557,0.6198614018918873,30,30
prek_1966,faces,0.5970165872008354,-0.0306351831113913,30,30
prek_1966,words,0.8426327613527241,0.7732006015152738,29,30
